family,subfamily,metric,label,unit,status,coverage_pct,source_column,optional,keep_drop_decision,screening_score
climate_drivers,thermal_shift,annual_mean_drybulb_c,Annual mean dry-bulb temperature,C,available,100,outdoor_drybulb_c_mean,False,Review,0.505896852696213
climate_drivers,thermal_shift,summer_mean_drybulb_c,Summer mean dry-bulb temperature,C,available,100,summer_mean_drybulb_c,True,Review,0.5019489024650617
climate_drivers,thermal_shift,annual_max_drybulb_c,Annual maximum dry-bulb temperature,C,available,100,outdoor_drybulb_c_max,False,Review,0.5029121319522426
climate_drivers,demand_background,cdd_18,Cooling degree days,degree-days,available,100,cdd_18,False,Review,0.5007372512365281
climate_drivers,demand_background,hdd_18,Heating degree days,degree-days,available,100,hdd_18,False,Review,0.5011082298467628
climate_drivers,demand_background,delta_cdd_18,Change in cooling degree days,degree-days,available,100,derived:cdd_18-baseline,True,Drop,0.38239549227790126
climate_drivers,demand_background,delta_hdd_18,Change in heating degree days,degree-days,available,100,derived:hdd_18-baseline,True,Review,0.4510621357897471
climate_drivers,humid_heat_stress,maximum_wetbulb_c,Maximum wet-bulb temperature,C,available,100,outdoor_wetbulb_c_max,False,Review,0.4696176288586928
climate_drivers,humid_heat_stress,high_wetbulb_hours,High wet-bulb hours,h,available,100,high_wetbulb_hours,True,Drop,0.39922187492779393
climate_drivers,humid_heat_stress,humidity_ratio_shift,Humidity-ratio shift,kg/kg,available,100,derived:outdoor_humidity_ratio-baseline,True,Drop,0.3810064659150395
climate_drivers,humid_heat_stress,high_rh_hours,High-RH hours,h,available,100,high_rh_hours,True,Review,0.5042317606140017
climate_drivers,solar_burden,annual_ghi_kwh_m2,Annual GHI,kWh/m2,available,100,annual_ghi_kwh_m2,False,Review,0.5041665523848294
climate_drivers,solar_burden,summer_ghi_kwh_m2,Summer GHI,kWh/m2,available,100,summer_ghi_kwh_m2,True,Review,0.5033954055357125
climate_drivers,solar_burden,peak_ghi_w_m2,Peak GHI,W/m2,available,100,peak_ghi_w_m2,True,Review,0.5070184116867282
climate_drivers,solar_burden,extreme_solar_hours,Extreme solar hours,h,available,100,extreme_solar_hours,True,Review,0.5016443559645721
climate_drivers,persistence_heatwave,hot_days,Hot days,days,available,100,hot_days_35c,False,Review,0.4962232483570169
climate_drivers,persistence_heatwave,heatwave_days,Heatwave days,days,available,100,heatwave_days,True,Review,0.49674597094211553
climate_drivers,persistence_heatwave,maximum_consecutive_hot_days,Maximum consecutive hot days,days,available,100,max_consec_hot_days_35c,False,Review,0.48320130978827747
climate_drivers,persistence_heatwave,warm_spell_length,Warm-spell length,days,available,100,max_consec_hot_days_30c,True,Review,0.49321972250624724
climate_drivers,persistence_heatwave,hot_nights,Hot nights,nights,available,100,hot_nights,True,Review,0.5023088038304785
building_responses,operational_resilience,cooling_peak_demand_kw,Cooling peak demand,kW,available,99.7807,cooling_electricity_peak_kw,False,Review,0.5084495179449277
building_responses,operational_resilience,facility_peak_demand_kw,Facility peak demand,kW,available,100,facility_total_electricity_demand_rate_max_kw,False,Review,0.48043693999880815
building_responses,operational_resilience,heating_peak_demand_kw,Heating peak demand,kW,available,99.7807,heating_electricity_peak_kw,False,Review,0.4877960209962494
building_responses,operational_resilience,cooling_unmet_hours,Cooling unmet hours,h,available,99.7807,abups_occupied_cooling_not_met_hours,False,Review,0.5230418218602834
building_responses,operational_resilience,heating_unmet_hours,Heating unmet hours,h,available,99.7807,abups_occupied_heating_not_met_hours,False,Review,0.515120657821363
building_responses,operational_resilience,cooling_setpoint_not_met_occupied_hours,Cooling setpoint not met occupied hours,h,available,100,facility_cooling_setpoint_not_met_occupied_time_total_hours,False,Keep,0.6389934969334301
building_responses,habitability_human_resilience,peak_operative_temperature_c,Peak operative temperature,C,available,100,rep_zone_operative_temp_c_max,False,Review,0.47836823608292617
building_responses,habitability_human_resilience,peak_indoor_air_temperature_c,Peak indoor air temperature,C,available,100,rep_zone_mean_air_temp_c_max,False,Review,0.48457856991910997
building_responses,habitability_human_resilience,maximum_delta_t_k,Maximum delta_t,K,available,100,delta_t_max_k,False,Review,0.4822383407585333
building_responses,habitability_human_resilience,annual_edh_c_h,Annual EDH,C h,available,100,annual_edh_c_h,False,Review,0.5586676382824255
building_responses,habitability_human_resilience,maximum_daily_edh_k_h,Maximum daily EDH,K h,available,100,daily_edh_max_k_h,False,Review,0.5562745008133627
building_responses,habitability_human_resilience,overheating_hours,Overheating hours,h,available,99.7807,abups_time_not_comfortable_simple_ashrae55_hours,True,Review,0.5293894054181554
building_responses,habitability_human_resilience,daily_edh_exceedance_days,Daily EDH exceedance days,days,available,100,daily_edh_exceed_6kh_count,False,Review,0.5253457405377753
building_responses,habitability_human_resilience,hours_of_safety,Hours of safety,h,missing,0,missing,True,Drop,0.0
building_responses,habitability_human_resilience,set_exceedance_hours,SET exceedance hours,h,missing,0,missing,True,Drop,0.0
building_responses,energy_burden,annual_total_electricity_kwh,Annual total electricity,kWh,available,99.7807,electricity_facility_annual_kwh,False,Keep,0.6058622367094147
building_responses,energy_burden,annual_cooling_electricity_kwh,Annual cooling electricity,kWh,available,99.7807,cooling_electricity_annual_kwh,False,Keep,0.6590439130760711
building_responses,energy_burden,annual_heating_electricity_kwh,Annual heating electricity,kWh,available,99.7807,heating_electricity_annual_kwh,False,Review,0.5326977851752627
building_responses,energy_burden,hvac_electricity_kwh,HVAC electricity,kWh,available,99.7807,electricity_hvac_annual_kwh,False,Keep,0.6066237994369859
building_responses,energy_burden,cooling_energy_intensity_kwh_m2,Cooling energy intensity,kWh/m2,available,99.7807,derived:cooling_electricity_annual_kwh/area,True,Review,0.4910225308360796
building_responses,energy_burden,heating_energy_intensity_kwh_m2,Heating energy intensity,kWh/m2,available,99.7807,derived:heating_electricity_annual_kwh/area,True,Review,0.47924214379401087
building_responses,durability_moisture_risk,indoor_high_rh_hours,Indoor high-RH hours,h,missing,0,missing,True,Drop,0.0
building_responses,durability_moisture_risk,indoor_rh_max_pct,Indoor RH max,%,available,100,rep_zone_rh_pct_max,False,Review,0.49856736673887736
building_responses,durability_moisture_risk,indoor_humidity_ratio_exposure,Indoor humidity-ratio exposure,kg/kg,available,100,rep_zone_humidity_ratio_mean,True,Review,0.5333886455728065
building_responses,durability_moisture_risk,condensation_risk_hours,Condensation risk hours,h,missing,0,missing,True,Drop,0.0
building_responses,durability_moisture_risk,surface_condensation_risk,Surface condensation risk,index,missing,0,missing,True,Drop,0.0
building_responses,durability_moisture_risk,mold_index,Mold index,index,missing,0,missing,True,Drop,0.0
building_responses,valuation_secondary_overlay,electricity_cost,Electricity cost,currency,missing,0,missing,True,Drop,0.0
building_responses,valuation_secondary_overlay,carbon_emissions,Carbon emissions,kgCO2e,missing,0,missing,True,Drop,0.0
building_responses,valuation_secondary_overlay,peak_demand_cost,Peak demand cost,currency,missing,0,missing,True,Drop,0.0
building_responses,valuation_secondary_overlay,adaptation_regret,Adaptation regret,index,missing,0,missing,True,Drop,0.0
