scenario,building,city,climate_type,decade,score_family,year_start,year_end,n_years,family_score_mean,family_score_sd,max_breached_component_count,component_metrics,interpretation_note
CORDEX_CMIP5_REMO2015_rcp85,office,Montreal,Dfb,2095-2100,operational_adequacy,2095,2100,6,0.23772746197001834,1.000337948940328,0,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_unmet_hours,
CORDEX_CMIP5_REMO2015_rcp85,office,Phoenix,BWh,2025-2034,energy_burden_secondary,2025,2034,10,6.883382752675971e-16,1.0540925533894596,0,annual_cooling_electricity_kwh,"Secondary overlay, not main resilience family"
CORDEX_CMIP5_REMO2015_rcp85,office,Phoenix,BWh,2025-2034,habitability,2025,2034,10,1.7763568394002506e-16,0.7936261057656284,3,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k,
CORDEX_CMIP5_REMO2015_rcp85,office,Phoenix,BWh,2025-2034,operational_adequacy,2025,2034,10,-3.275157922644212e-16,0.6472320082316863,0,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_unmet_hours,
CORDEX_CMIP5_REMO2015_rcp85,office,Phoenix,BWh,2035-2044,energy_burden_secondary,2035,2044,10,0.9124614686349988,0.8475720559031757,0,annual_cooling_electricity_kwh,"Secondary overlay, not main resilience family"
CORDEX_CMIP5_REMO2015_rcp85,office,Phoenix,BWh,2035-2044,habitability,2035,2044,10,-0.2574471824974279,0.8469964465400736,3,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k,
CORDEX_CMIP5_REMO2015_rcp85,office,Phoenix,BWh,2035-2044,operational_adequacy,2035,2044,10,0.28549294554386984,0.7544291805872357,0,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_unmet_hours,
CORDEX_CMIP5_REMO2015_rcp85,office,Phoenix,BWh,2045-2054,energy_burden_secondary,2045,2054,10,1.3030194586360817,0.8471994284314694,0,annual_cooling_electricity_kwh,"Secondary overlay, not main resilience family"
CORDEX_CMIP5_REMO2015_rcp85,office,Phoenix,BWh,2045-2054,habitability,2045,2054,10,-0.10976554458340486,0.5782492543386346,3,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k,
CORDEX_CMIP5_REMO2015_rcp85,office,Phoenix,BWh,2045-2054,operational_adequacy,2045,2054,10,0.433435722076036,0.5940452588898869,0,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_unmet_hours,
CORDEX_CMIP5_REMO2015_rcp85,office,Phoenix,BWh,2055-2064,energy_burden_secondary,2055,2064,10,3.150398379547626,1.078640716332441,0,annual_cooling_electricity_kwh,"Secondary overlay, not main resilience family"
CORDEX_CMIP5_REMO2015_rcp85,office,Phoenix,BWh,2055-2064,habitability,2055,2064,10,-0.3335977881862946,0.7694093505546878,3,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k,
CORDEX_CMIP5_REMO2015_rcp85,office,Phoenix,BWh,2055-2064,operational_adequacy,2055,2064,10,0.8652653156841333,0.957883619158221,0,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_unmet_hours,
CORDEX_CMIP5_REMO2015_rcp85,office,Phoenix,BWh,2065-2074,energy_burden_secondary,2065,2074,10,3.4742048573906885,1.0324558707788147,0,annual_cooling_electricity_kwh,"Secondary overlay, not main resilience family"
CORDEX_CMIP5_REMO2015_rcp85,office,Phoenix,BWh,2065-2074,habitability,2065,2074,10,-0.5199740268803911,0.9157651444078141,3,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k,
CORDEX_CMIP5_REMO2015_rcp85,office,Phoenix,BWh,2065-2074,operational_adequacy,2065,2074,10,1.3183871322542213,0.5896562415204617,0,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_unmet_hours,
CORDEX_CMIP5_REMO2015_rcp85,office,Phoenix,BWh,2075-2084,energy_burden_secondary,2075,2084,10,5.180771551467572,0.6254529879338798,0,annual_cooling_electricity_kwh,"Secondary overlay, not main resilience family"
CORDEX_CMIP5_REMO2015_rcp85,office,Phoenix,BWh,2075-2084,habitability,2075,2084,10,-0.871553829315905,0.8075986816339856,3,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k,
CORDEX_CMIP5_REMO2015_rcp85,office,Phoenix,BWh,2075-2084,operational_adequacy,2075,2084,10,2.609758026146452,0.8391440198570578,0,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_unmet_hours,
CORDEX_CMIP5_REMO2015_rcp85,office,Phoenix,BWh,2085-2094,energy_burden_secondary,2085,2094,10,6.812000621994076,1.318959557219383,0,annual_cooling_electricity_kwh,"Secondary overlay, not main resilience family"
CORDEX_CMIP5_REMO2015_rcp85,office,Phoenix,BWh,2085-2094,habitability,2085,2094,10,-0.9942297710645678,0.7074315493200114,3,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k,
CORDEX_CMIP5_REMO2015_rcp85,office,Phoenix,BWh,2085-2094,operational_adequacy,2085,2094,10,3.5241014194680553,0.9955495923603374,0,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_unmet_hours,
CORDEX_CMIP5_REMO2015_rcp85,office,Phoenix,BWh,2095-2100,energy_burden_secondary,2095,2100,6,7.252167255595448,1.7759884155880312,0,annual_cooling_electricity_kwh,"Secondary overlay, not main resilience family"
CORDEX_CMIP5_REMO2015_rcp85,office,Phoenix,BWh,2095-2100,habitability,2095,2100,6,-1.3025039610256013,0.5943500538838006,2,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k,
CORDEX_CMIP5_REMO2015_rcp85,office,Phoenix,BWh,2095-2100,operational_adequacy,2095,2100,6,3.8760972868227377,1.3062405494206693,0,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_unmet_hours,
CORDEX_CMIP5_REMO2015_rcp85,office,Toronto,Dfa,2025-2034,energy_burden_secondary,2025,2034,10,7.743805596760466e-16,1.0540925533894598,0,annual_cooling_electricity_kwh,"Secondary overlay, not main resilience family"
CORDEX_CMIP5_REMO2015_rcp85,office,Toronto,Dfa,2025-2034,habitability,2025,2034,10,2.6645352591003756e-16,0.5132183875876674,0,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k,
CORDEX_CMIP5_REMO2015_rcp85,office,Toronto,Dfa,2025-2034,operational_adequacy,2025,2034,10,1.607047828144914e-15,0.5876401736669744,0,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_unmet_hours,
CORDEX_CMIP5_REMO2015_rcp85,office,Toronto,Dfa,2035-2044,energy_burden_secondary,2035,2044,10,0.7875161473633698,1.2513786619753662,0,annual_cooling_electricity_kwh,"Secondary overlay, not main resilience family"
CORDEX_CMIP5_REMO2015_rcp85,office,Toronto,Dfa,2035-2044,habitability,2035,2044,10,-0.14776885326858183,0.95513484807957,0,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k,
CORDEX_CMIP5_REMO2015_rcp85,office,Toronto,Dfa,2035-2044,operational_adequacy,2035,2044,10,-0.11768872297957433,0.787166000634063,0,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_unmet_hours,
CORDEX_CMIP5_REMO2015_rcp85,office,Toronto,Dfa,2045-2054,energy_burden_secondary,2045,2054,10,1.586156265074556,1.502780200308474,0,annual_cooling_electricity_kwh,"Secondary overlay, not main resilience family"
CORDEX_CMIP5_REMO2015_rcp85,office,Toronto,Dfa,2045-2054,habitability,2045,2054,10,0.6162746668143358,1.1299004017596321,0,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k,
CORDEX_CMIP5_REMO2015_rcp85,office,Toronto,Dfa,2045-2054,operational_adequacy,2045,2054,10,0.02663253234095757,1.374491363243366,0,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_unmet_hours,
CORDEX_CMIP5_REMO2015_rcp85,office,Toronto,Dfa,2055-2064,energy_burden_secondary,2055,2064,10,2.480264429674898,1.3410334533359398,0,annual_cooling_electricity_kwh,"Secondary overlay, not main resilience family"
CORDEX_CMIP5_REMO2015_rcp85,office,Toronto,Dfa,2055-2064,habitability,2055,2064,10,0.9801805789953189,1.2010431467164642,0,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k,
CORDEX_CMIP5_REMO2015_rcp85,office,Toronto,Dfa,2055-2064,operational_adequacy,2055,2064,10,0.6956749868665527,1.2133252222954827,0,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_unmet_hours,
CORDEX_CMIP5_REMO2015_rcp85,office,Toronto,Dfa,2065-2074,energy_burden_secondary,2065,2074,10,3.061987125603625,1.5031593219499544,0,annual_cooling_electricity_kwh,"Secondary overlay, not main resilience family"
CORDEX_CMIP5_REMO2015_rcp85,office,Toronto,Dfa,2065-2074,habitability,2065,2074,10,1.066635166916498,1.1651521403690932,0,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k,
CORDEX_CMIP5_REMO2015_rcp85,office,Toronto,Dfa,2065-2074,operational_adequacy,2065,2074,10,-0.11917292997727547,1.0361581295911482,0,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_unmet_hours,
CORDEX_CMIP5_REMO2015_rcp85,office,Toronto,Dfa,2075-2084,energy_burden_secondary,2075,2084,10,3.2033225022831004,1.4037457949729497,0,annual_cooling_electricity_kwh,"Secondary overlay, not main resilience family"
CORDEX_CMIP5_REMO2015_rcp85,office,Toronto,Dfa,2075-2084,habitability,2075,2084,10,0.4712880666050321,1.2376832648850464,0,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k,
CORDEX_CMIP5_REMO2015_rcp85,office,Toronto,Dfa,2075-2084,operational_adequacy,2075,2084,10,-0.41564502984494317,1.3594674649338674,0,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_unmet_hours,
CORDEX_CMIP5_REMO2015_rcp85,office,Toronto,Dfa,2085-2094,energy_burden_secondary,2085,2094,10,5.486784086694881,1.0457317065171539,0,annual_cooling_electricity_kwh,"Secondary overlay, not main resilience family"
CORDEX_CMIP5_REMO2015_rcp85,office,Toronto,Dfa,2085-2094,habitability,2085,2094,10,1.5726167417606818,0.821694423894105,0,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k,
CORDEX_CMIP5_REMO2015_rcp85,office,Toronto,Dfa,2085-2094,operational_adequacy,2085,2094,10,0.8657553920620462,1.4207486989486735,0,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_unmet_hours,
CORDEX_CMIP5_REMO2015_rcp85,office,Toronto,Dfa,2095-2100,energy_burden_secondary,2095,2100,6,6.718624118156615,1.1096042562462587,0,annual_cooling_electricity_kwh,"Secondary overlay, not main resilience family"
CORDEX_CMIP5_REMO2015_rcp85,office,Toronto,Dfa,2095-2100,habitability,2095,2100,6,1.7151481133307867,0.9822958149480604,0,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k,
CORDEX_CMIP5_REMO2015_rcp85,office,Toronto,Dfa,2095-2100,operational_adequacy,2095,2100,6,2.4319696854765387,0.9606821930753806,0,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_unmet_hours,
CORDEX_CMIP5_REMO2015_rcp85,office,Vancouver,Cfb,2025-2034,energy_burden_secondary,2025,2034,10,0.0,1.0540925533894598,0,annual_cooling_electricity_kwh,"Secondary overlay, not main resilience family"
CORDEX_CMIP5_REMO2015_rcp85,office,Vancouver,Cfb,2025-2034,habitability,2025,2034,10,0.0,0.0,0,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k,
CORDEX_CMIP5_REMO2015_rcp85,office,Vancouver,Cfb,2025-2034,operational_adequacy,2025,2034,10,2.7200464103316337e-16,0.3566358516620248,1,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_unmet_hours,
CORDEX_CMIP5_REMO2015_rcp85,office,Vancouver,Cfb,2035-2044,energy_burden_secondary,2035,2044,10,1.0245403452680955,0.7466326467018606,0,annual_cooling_electricity_kwh,"Secondary overlay, not main resilience family"
CORDEX_CMIP5_REMO2015_rcp85,office,Vancouver,Cfb,2035-2044,habitability,2035,2044,10,0.0,0.0,0,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k,
CORDEX_CMIP5_REMO2015_rcp85,office,Vancouver,Cfb,2035-2044,operational_adequacy,2035,2044,10,0.3104547382016304,0.5260050343357203,0,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_unmet_hours,
CORDEX_CMIP5_REMO2015_rcp85,office,Vancouver,Cfb,2045-2054,energy_burden_secondary,2045,2054,10,1.4605959090842842,0.6700335335090147,0,annual_cooling_electricity_kwh,"Secondary overlay, not main resilience family"
CORDEX_CMIP5_REMO2015_rcp85,office,Vancouver,Cfb,2045-2054,habitability,2045,2054,10,0.0,0.0,0,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k,
CORDEX_CMIP5_REMO2015_rcp85,office,Vancouver,Cfb,2045-2054,operational_adequacy,2045,2054,10,0.8564643678472248,0.9189720618454241,0,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_unmet_hours,
CORDEX_CMIP5_REMO2015_rcp85,office,Vancouver,Cfb,2055-2064,energy_burden_secondary,2055,2064,10,2.2318239313249064,0.8787389515341315,0,annual_cooling_electricity_kwh,"Secondary overlay, not main resilience family"
CORDEX_CMIP5_REMO2015_rcp85,office,Vancouver,Cfb,2055-2064,habitability,2055,2064,10,0.2829502554091774,0.6695820831200207,0,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k,
CORDEX_CMIP5_REMO2015_rcp85,office,Vancouver,Cfb,2055-2064,operational_adequacy,2055,2064,10,1.3376927295388856,1.1170287470592506,0,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_unmet_hours,
CORDEX_CMIP5_REMO2015_rcp85,office,Vancouver,Cfb,2065-2074,energy_burden_secondary,2065,2074,10,3.166894953198123,1.2574184282917933,0,annual_cooling_electricity_kwh,"Secondary overlay, not main resilience family"
CORDEX_CMIP5_REMO2015_rcp85,office,Vancouver,Cfb,2065-2074,habitability,2065,2074,10,0.5544119968771248,1.3394416162302576,0,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k,
CORDEX_CMIP5_REMO2015_rcp85,office,Vancouver,Cfb,2065-2074,operational_adequacy,2065,2074,10,1.1574977596976654,1.1186390779366366,0,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_unmet_hours,
CORDEX_CMIP5_REMO2015_rcp85,office,Vancouver,Cfb,2075-2084,energy_burden_secondary,2075,2084,10,3.2490005462724354,1.102970574302998,0,annual_cooling_electricity_kwh,"Secondary overlay, not main resilience family"
CORDEX_CMIP5_REMO2015_rcp85,office,Vancouver,Cfb,2075-2084,habitability,2075,2084,10,0.11294409226108437,0.3571605798052234,0,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k,
CORDEX_CMIP5_REMO2015_rcp85,office,Vancouver,Cfb,2075-2084,operational_adequacy,2075,2084,10,0.7713475151969169,1.0757994030495677,0,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_unmet_hours,
CORDEX_CMIP5_REMO2015_rcp85,office,Vancouver,Cfb,2085-2094,energy_burden_secondary,2085,2094,10,5.17768424606737,0.9363793421777953,0,annual_cooling_electricity_kwh,"Secondary overlay, not main resilience family"
CORDEX_CMIP5_REMO2015_rcp85,office,Vancouver,Cfb,2085-2094,habitability,2085,2094,10,1.2029660824028916,1.5918215062815322,0,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k,
CORDEX_CMIP5_REMO2015_rcp85,office,Vancouver,Cfb,2085-2094,operational_adequacy,2085,2094,10,2.741900808951482,1.1907583385651843,0,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_unmet_hours,
CORDEX_CMIP5_REMO2015_rcp85,office,Vancouver,Cfb,2095-2100,energy_burden_secondary,2095,2100,6,5.4971065035283715,1.019642438355685,0,annual_cooling_electricity_kwh,"Secondary overlay, not main resilience family"
CORDEX_CMIP5_REMO2015_rcp85,office,Vancouver,Cfb,2095-2100,habitability,2095,2100,6,1.1057744353029995,1.698067368059225,0,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k,
CORDEX_CMIP5_REMO2015_rcp85,office,Vancouver,Cfb,2095-2100,operational_adequacy,2095,2100,6,2.330600768906646,1.2809662965110442,0,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_unmet_hours,
